"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1564","should allow Remember me to be checked and unchecked","chrome","2026-08-21","passed","2026-08-21","Remember me","auth.spec.ts","",""
"","2145","should open About us from the footer","chrome","2026-08-21","passed","2026-08-21","Footer info useful links and social","footer.spec.ts","",""
"","1738","should open Privacy Policy from the footer","chrome","2026-08-21","passed","2026-08-21","Footer info useful links and social","footer.spec.ts","",""
"","1","should recover from a declined card and complete payment with a valid card","chrome","2026-08-21","skipped","2026-08-21","Checkout > PayHere card payments","checkout.spec.ts","",""
"","2255","should show empty state for Kawaii theme collection","chrome","2026-08-21","passed","2026-08-21","Theme collection empty states","catalog-edges.spec.ts","",""
"","1474","should require a color before sizes are available","chrome","2026-08-21","passed","2026-08-21","Color and stock PDP","catalog-edges.spec.ts","",""
"","2014","should require an email on empty register submit","chrome","2026-08-21","passed","2026-08-21","Customer register","auth.spec.ts","",""
"","1380","should open Kawaii theme collection","chrome","2026-08-21","passed","2026-08-21","Categories and products PLP","collections.spec.ts","",""
"","2","should decline a Visa card on network error","chrome","2026-08-21","skipped","2026-08-21","Checkout > PayHere card payments","checkout.spec.ts","",""
"","1651","should open Contact from the footer","chrome","2026-08-21","passed","2026-08-21","Footer info useful links and social","footer.spec.ts","",""
"","3","should decline a MasterCard when limit is exceeded","chrome","2026-08-21","skipped","2026-08-21","Checkout > PayHere card payments","checkout.spec.ts","",""
"","2885","should navigate to Women from the top-level nav","chrome","2026-08-21","passed","2026-08-21","Desktop main navigation","main-nav.spec.ts","",""
"","1512","should open the login page from the header","chrome","2026-08-21","passed","2026-08-21","Customer login","auth.spec.ts","",""
"","0","should redeem a queued reward when placing a COD order","chrome","2026-08-21","skipped","2026-08-21","Rewards","rewards.spec.ts","",""
"","17361","should surface create-account checkout schema error until GENKI-BUG-002 is fixed","chrome","2026-08-21","failed","2026-08-21","Checkout advanced flows","checkout-advanced.spec.ts","",""
"","1940","should redirect guests from account dashboard to login","chrome","2026-08-21","passed","2026-08-21","Account deep links as guest","profile.spec.ts","",""
"","6184","should register a new account and prompt for email confirmation","chrome","2026-08-21","passed","2026-08-21","Customer register","auth.spec.ts","",""
"","2844","should change the active slide when next is clicked","chrome","2026-08-21","passed","2026-08-21","Carousel","home.spec.ts","",""
"","4698","should start PayHere for a gift order paid by card","chrome","2026-08-21","passed","2026-08-21","Gift checkout > Gift order placement","checkout-advanced.spec.ts","",""
"","4053","should sign in and land on the homepage with Logout in the header","chrome","2026-08-21","passed","2026-08-21","Customer login","auth.spec.ts","",""
"","7212","should enable add to cart after selecting a size","chrome","2026-08-21","failed","2026-08-21","Individual product","pdp.spec.ts","",""
"","17336","should keep place order disabled when terms are not accepted","chrome","2026-08-21","failed","2026-08-21","Checkout","checkout.spec.ts","",""
"","17401","should reveal create-account password fields at checkout","chrome","2026-08-21","failed","2026-08-21","Checkout","checkout.spec.ts","",""
"","2022","should show password rules when password is missing","chrome","2026-08-21","passed","2026-08-21","Customer register","auth.spec.ts","",""
"","1517","should return to the homepage when the logo is clicked","chrome","2026-08-21","passed","2026-08-21","Desktop main navigation","main-nav.spec.ts","",""
"","17318","should place a COD order with a separate shipping address","chrome","2026-08-21","failed","2026-08-21","Checkout advanced flows","checkout-advanced.spec.ts","",""
"","1986","should navigate to Men from the top-level nav","chrome","2026-08-21","passed","2026-08-21","Desktop main navigation","main-nav.spec.ts","",""
"","3053","should reject an unknown email with an error toast","chrome","2026-08-21","passed","2026-08-21","Customer login","auth.spec.ts","",""
"","9752","should place a bank transfer gift order with an empty gift message","chrome","2026-08-21","passed","2026-08-21","Gift checkout > Gift order placement","checkout-advanced.spec.ts","",""
"","2314","should open Women collection with products","chrome","2026-08-21","passed","2026-08-21","Categories and products PLP","collections.spec.ts","",""
"","17303","should load checkout with billing and payment methods","chrome","2026-08-21","failed","2026-08-21","Checkout","checkout.spec.ts","",""
