"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17715","should place a bank transfer order as a guest","chrome","2026-08-18","failed","2026-08-18","Checkout","checkout.spec.ts","",""
"","7339","should register a new account and prompt for email confirmation","chrome","2026-08-18","passed","2026-08-18","Customer register","auth.spec.ts","",""
"","17312","should proceed to checkout from the cart drawer","chrome","2026-08-18","failed","2026-08-18","Cart","cart.spec.ts","",""
"","2627","should open the search overlay and accept a product query","chrome","2026-08-18","passed","2026-08-18","Product search","search.spec.ts","",""
"","6970","should save shipping address changes","chrome","2026-08-18","passed","2026-08-18","Profile","profile.spec.ts","",""
"","17976","should show the cart page with the added line item","chrome","2026-08-18","failed","2026-08-18","Cart","cart.spec.ts","",""
"","3651","should open Men → View All Men's","chrome","2026-08-18","passed","2026-08-18","Desktop main navigation","main-nav.spec.ts","",""
"","3008","should reject a wrong password with an error toast","chrome","2026-08-18","passed","2026-08-18","Customer login","auth.spec.ts","",""
"","1684","should open the first valid product from Men PLP","chrome","2026-08-18","passed","2026-08-18","Categories and products PLP","collections.spec.ts","",""
"","1485","should load the homepage with title and featured heading","chrome","2026-08-18","passed","2026-08-18","Home page","home.spec.ts","",""
"","2170","should redirect guests from orders to login","chrome","2026-08-18","passed","2026-08-18","Account deep links as guest","profile.spec.ts","",""
"","2026","should show password rules when password is missing","chrome","2026-08-18","passed","2026-08-18","Customer register","auth.spec.ts","",""
"","2740","should open the cart drawer from the header icon","chrome","2026-08-18","passed","2026-08-18","Desktop main navigation","main-nav.spec.ts","",""
"","2867","should reject an invalid newsletter email","chrome","2026-08-18","passed","2026-08-18","Newsletter","home.spec.ts","",""
"","1788","should link back to login from the register form","chrome","2026-08-18","passed","2026-08-18","Customer register","auth.spec.ts","",""
"","7510","should add quantity greater than one to the cart","chrome","2026-08-18","failed","2026-08-18","Individual product","pdp.spec.ts","",""
"","17476","should reveal create-account password fields at checkout","chrome","2026-08-18","failed","2026-08-18","Checkout","checkout.spec.ts","",""
"","5219","should show usable points and rewards catalog","chrome","2026-08-18","passed","2026-08-18","Rewards","rewards.spec.ts","",""
"","6933","should increase quantity with the stepper","chrome","2026-08-18","failed","2026-08-18","Individual product","pdp.spec.ts","",""
"","6587","should stay signed in after reload when Remember me is checked","chrome","2026-08-18","passed","2026-08-18","Remember me","auth.spec.ts","",""
"","1631","should open Shipping & Delivery from the footer","chrome","2026-08-18","passed","2026-08-18","Footer info useful links and social","footer.spec.ts","",""
"","3624","should open Women → Regular T-Shirts","chrome","2026-08-18","passed","2026-08-18","Desktop main navigation","main-nav.spec.ts","",""
"","2527","should open Returns from the footer","chrome","2026-08-18","passed","2026-08-18","Footer info useful links and social","footer.spec.ts","",""
"","2018","should reject an empty submit","chrome","2026-08-18","passed","2026-08-18","Customer login","auth.spec.ts","",""
"","17385","should keep place order disabled for an invalid billing email","chrome","2026-08-18","failed","2026-08-18","Checkout advanced flows","checkout-advanced.spec.ts","",""
"","1346","should select a specific size from the size matrix","chrome","2026-08-18","passed","2026-08-18","Individual product","pdp.spec.ts","",""
"","1889","should show empty state for Originals theme collection","chrome","2026-08-18","passed","2026-08-18","Theme collection empty states","catalog-edges.spec.ts","",""
"","1571","should expose footer Instagram link","chrome","2026-08-18","passed","2026-08-18","Footer info useful links and social","footer.spec.ts","",""
"","4079","should keep a session cookie after reload when Remember me is unchecked","chrome","2026-08-18","passed","2026-08-18","Remember me","auth.spec.ts","",""
"","4684","should start PayHere for a gift order paid by card","chrome","2026-08-18","passed","2026-08-18","Gift checkout > Gift order placement","checkout-advanced.spec.ts","",""
"","2","should decline a MasterCard when limit is exceeded","chrome","2026-08-18","skipped","2026-08-18","Checkout > PayHere card payments","checkout.spec.ts","",""
"","2","should place a successful MasterCard order via PayHere sandbox","chrome","2026-08-18","skipped","2026-08-18","Checkout > PayHere card payments","checkout.spec.ts","",""
"","3","should place a successful Amex card order via PayHere sandbox","chrome","2026-08-18","skipped","2026-08-18","Checkout > PayHere card payments","checkout.spec.ts","",""
"","17320","should keep place order disabled when terms are not accepted","chrome","2026-08-18","failed","2026-08-18","Checkout","checkout.spec.ts","",""
"","1363","should open Originals theme collection","chrome","2026-08-18","passed","2026-08-18","Categories and products PLP","collections.spec.ts","",""
"","17357","should decrease quantity on the cart page","chrome","2026-08-18","failed","2026-08-18","Cart","cart.spec.ts","",""
"","2359","should show empty state for Kawaii theme collection","chrome","2026-08-18","passed","2026-08-18","Theme collection empty states","catalog-edges.spec.ts","",""
