"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1467","should expose the whatsapp header link","chrome","2026-08-16","passed","2026-08-16","Desktop top bar","top-bar.spec.ts","",""
"","1303","should show empty state for Culture theme collection","chrome","2026-08-16","passed","2026-08-16","Theme collection empty states","catalog-edges.spec.ts","",""
"","2180","should navigate to Collections from the top-level nav","chrome","2026-08-16","passed","2026-08-16","Desktop main navigation","main-nav.spec.ts","",""
"","2502","should open Collections → Kawaii","chrome","2026-08-16","passed","2026-08-16","Desktop main navigation","main-nav.spec.ts","",""
"","2428","should reject an invalid newsletter email","chrome","2026-08-16","passed","2026-08-16","Newsletter","home.spec.ts","",""
"","17070","should persist guest cart items after reload","chrome","2026-08-16","failed","2026-08-16","Guest cart session","checkout-advanced.spec.ts","",""
"","1528","should display phone, WhatsApp, and social links","chrome","2026-08-16","passed","2026-08-16","Desktop top bar","top-bar.spec.ts","",""
"","17007","should remove items and show an empty cart","chrome","2026-08-16","failed","2026-08-16","Cart","cart.spec.ts","",""
"","3988","should restore the Login link after Logout","chrome","2026-08-16","passed","2026-08-16","Customer login","auth.spec.ts","",""
"","17267","should keep place order disabled for an invalid billing email","chrome","2026-08-16","failed","2026-08-16","Checkout advanced flows","checkout-advanced.spec.ts","",""
"","1497","should show the hero carousel with multiple slides","chrome","2026-08-16","passed","2026-08-16","Carousel","home.spec.ts","",""
"","2189","should open the search overlay and accept a product query","chrome","2026-08-16","passed","2026-08-16","Product search","search.spec.ts","",""
"","7883","should accept a valid newsletter email","chrome","2026-08-16","passed","2026-08-16","Newsletter","home.spec.ts","",""
"","4","should decline a Visa card with do not honor","chrome","2026-08-16","skipped","2026-08-16","Checkout > PayHere card payments","checkout.spec.ts","",""
"","5855","should open Loyalty and show points","chrome","2026-08-16","passed","2026-08-16","Profile","profile.spec.ts","",""
"","18054","should increase quantity on the cart page","chrome","2026-08-16","failed","2026-08-16","Cart","cart.spec.ts","",""
"","1729","should require an email on empty register submit","chrome","2026-08-16","passed","2026-08-16","Customer register","auth.spec.ts","",""
"","16981","should surface create-account checkout schema error until GENKI-BUG-002 is fixed","chrome","2026-08-16","failed","2026-08-16","Checkout advanced flows","checkout-advanced.spec.ts","",""
"","2006","should open Women collection with products","chrome","2026-08-16","passed","2026-08-16","Categories and products PLP","collections.spec.ts","",""
"","1776","should require a color before sizes are available","chrome","2026-08-16","passed","2026-08-16","Color and stock PDP","catalog-edges.spec.ts","",""
"","1317","should open Originals theme collection","chrome","2026-08-16","passed","2026-08-16","Categories and products PLP","collections.spec.ts","",""
"","1565","should open Returns from the footer","chrome","2026-08-16","passed","2026-08-16","Footer info useful links and social","footer.spec.ts","",""
"","2","should recover from a declined card and complete payment with a valid card","chrome","2026-08-16","skipped","2026-08-16","Checkout > PayHere card payments","checkout.spec.ts","",""
"","2268","should accept an unmatched search query without leaving the homepage","chrome","2026-08-16","passed","2026-08-16","Product search","search.spec.ts","",""
"","1542","should expose the instagram header link","chrome","2026-08-16","passed","2026-08-16","Desktop top bar","top-bar.spec.ts","",""
"","1917","should require a password when only email is entered","chrome","2026-08-16","passed","2026-08-16","Customer login","auth.spec.ts","",""
"","5757","should open order detail from the Orders list","chrome","2026-08-16","passed","2026-08-16","Profile","profile.spec.ts","",""
"","1422","should open Exchange promo to return policy","chrome","2026-08-16","passed","2026-08-16","Footer info useful links and social","footer.spec.ts","",""
"","1341","should load the homepage with title and featured heading","chrome","2026-08-16","passed","2026-08-16","Home page","home.spec.ts","",""
"","2793","should reject an unknown email with an error toast","chrome","2026-08-16","passed","2026-08-16","Customer login","auth.spec.ts","",""
"","2463","should redirect guests from account dashboard to login","chrome","2026-08-16","passed","2026-08-16","Account deep links as guest","profile.spec.ts","",""
"","1576","should open the first valid product from Men PLP","chrome","2026-08-16","passed","2026-08-16","Categories and products PLP","collections.spec.ts","",""
"","20188","should persist cart items for a logged-in customer after reload","chrome","2026-08-16","failed","2026-08-16","Cart","cart.spec.ts","",""
"","17076","should place a COD order with a separate shipping address","chrome","2026-08-16","failed","2026-08-16","Checkout advanced flows","checkout-advanced.spec.ts","",""
"","1","should redeem a queued reward when placing a COD order","chrome","2026-08-16","skipped","2026-08-16","Rewards","rewards.spec.ts","",""
"","2081","should open Anime theme collection","chrome","2026-08-16","passed","2026-08-16","Categories and products PLP","collections.spec.ts","",""
"","17548","should proceed to checkout from the cart drawer","chrome","2026-08-16","failed","2026-08-16","Cart","cart.spec.ts","",""
"","17181","should show usable points and rewards catalog","chrome","2026-08-16","failed","2026-08-16","Rewards","rewards.spec.ts","",""
