"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2883","should navigate to Women from the top-level nav","chrome","2026-08-15","passed","2026-08-15","Desktop main navigation","main-nav.spec.ts","",""
"","2692","should open the register page from the login form","chrome","2026-08-15","passed","2026-08-15","Customer register","auth.spec.ts","",""
"","2823","should link back to login from the register form","chrome","2026-08-15","passed","2026-08-15","Customer register","auth.spec.ts","",""
"","4726","should toggle show/hide password on the login form","chrome","2026-08-15","passed","2026-08-15","Customer login","auth.spec.ts","",""
"","4229","should reject an invalid email format with an error toast","chrome","2026-08-15","passed","2026-08-15","Customer login","auth.spec.ts","",""
"","7619","should register a new account and prompt for email confirmation","chrome","2026-08-15","passed","2026-08-15","Customer register","auth.spec.ts","",""
"","2668","should open the cart drawer from the header icon","chrome","2026-08-15","passed","2026-08-15","Desktop main navigation","main-nav.spec.ts","",""
"","2878","should reject an empty submit","chrome","2026-08-15","passed","2026-08-15","Customer login","auth.spec.ts","",""
"","3061","should navigate from homepage to a product and display Add to Cart","chrome","2026-08-15","passed","2026-08-15","Homepage navigation","navigation.spec.ts","",""
"","3450","should open Collections → Kawaii","chrome","2026-08-15","passed","2026-08-15","Desktop main navigation","main-nav.spec.ts","",""
"","2235","should expose the facebook header link","chrome","2026-08-15","passed","2026-08-15","Desktop top bar","top-bar.spec.ts","",""
"","7821","should send a password reset email message","chrome","2026-08-15","passed","2026-08-15","Customer login","auth.spec.ts","",""
"","8448","should stay signed in after reload when Remember me is checked","chrome","2026-08-15","passed","2026-08-15","Remember me","auth.spec.ts","",""
"","3217","should require an email on empty register submit","chrome","2026-08-15","passed","2026-08-15","Customer register","auth.spec.ts","",""
"","3530","should open Collections → Anime","chrome","2026-08-15","passed","2026-08-15","Desktop main navigation","main-nav.spec.ts","",""
"","2175","should display phone, WhatsApp, and social links","chrome","2026-08-15","passed","2026-08-15","Desktop top bar","top-bar.spec.ts","",""
"","2164","should expose the phone header link","chrome","2026-08-15","passed","2026-08-15","Desktop top bar","top-bar.spec.ts","",""
"","4934","should sign in and land on the homepage with Logout in the header","chrome","2026-08-15","passed","2026-08-15","Customer login","auth.spec.ts","",""
"","3638","should open Collections → Originals","chrome","2026-08-15","passed","2026-08-15","Desktop main navigation","main-nav.spec.ts","",""
